"csb emisor";"csb adquiriente"
"6874 - SABADELL-PAYCOMET";"0046 - BANCO GALLEGO"
"0081 - BANCOSABADELL";"0046 - BANCO GALLEGO"
"0081 - BANCOSABADELL";"0081 - BANCOSABADELL"
"6874 - SABADELL-PAYCOMET";"0081 - BANCOSABADELL"
"8883 - REDSYS PRUEBAS CARGA EMISORA";"0081 - BANCOSABADELL"
"0049 - BANCO SANTANDER";"0049 - BANCO SANTANDER"
"0075 - BANCO POPULAR";"0049 - BANCO SANTANDER"
"0081 - BANCOSABADELL";"6874 - SABADELL-PAYCOMET"
"0081 - BANCOSABADELL";"8883 - REDSYS PRUEBAS CARGA EMISORA"
"0112 - BANCO URQUIJO UNION";"0081 - BANCOSABADELL"
"0112 - BANCO URQUIJO UNION";"6874 - SABADELL-PAYCOMET"
"0649 - SANTANDER CORPORATE";"0049 - BANCO SANTANDER"
