"Csb emisor";"Nombre emisor"
0001;"SISTEMA 4B"
0002;"MASTERCARD - MDS FOR EUROPE DE"
0003;"ENTIDAD PLUS"
0004;"BANCO 0004"
0005;"ENTIDAD AMERICAN EXPRESS INTERNACIONAL"
0006;"ENTIDAD DINERS NACIONAL"
0007;"GOVERNMENT PRINTING OFFICE FEDERAL CREDI"
0008;"SERVICIOS BROXEL. S.A.P.I. DE C.V."
0009;"AMOCO FEDERAL CREDIT UNION"
0010;"CHINA UNION PAY"
0011;"PIRAEUS BANK S.A."
0012;"DOCK TECH MEXICO SA DE CV"
0013;"LONE STAR NATIONAL BANK"
0014;"PATHWARD, NATIONAL ASSOCIATION"
0015;"SIPAY ELEKTRONIK PARA VE ODEME"
0016;"BANCO BRADESCO S.A."
0017;"NEXI PAYMENTS S.P.A."
0018;"FINEXUS CARDS SDN BHD"
0019;"DEUTSCHE BANK SAE"
0020;"AL TADHAMUN BANK"
0021;"MOBILINK MICROFINANCE BANK LIM"
0022;"REGIONS BANK"
0023;"BNP PARIBAS"
0024;"BNP PARIBAS"
0025;"KUVEYT TURK KATILIM BANKASI A.S."
0026;"BANCO SANTANDER S.A."
0027;"ARBUTHNOT LATHAM & CO LIMITED"
0028;"GREEN DOT BANK DBA BONNEVILLE BANK"
0029;"ASOCIACION PERAVIA DE AHORROS Y PRESTAMO"
0030;"FIRST NATIONAL BANK OF KENTUCKY"
0031;"MAYBANK (CAMBODIA) PLC."
0032;"CITIZENS BANK OF KENTUCKY, INC."
0033;"BOKF, NATIONAL ASSOCIATION"
0034;"PROCREDIT BANK (BULGARIA) AD"
0035;"INTERNATIONAL BANK OF SOMALIA"
0036;"MOUNTAIN PACIFIC BANK"
0037;"SUNRISE BANKS, NATIONAL ASSOCIATION"
0038;"PNC BANK, N.A."
0039;"(OFAC SANCTIONED) BM-BANK JSC"
0040;"KOMERCNI BANKA, A.S."
0041;"CREDIT IMMOBILIER ET. HOTELIER"
0042;"(OFAC SANCTIONED) BANK ZENIT"
0043;"TURK ELEKTRONIK PARA A S"
0044;"BANCO INDUSTRIAL S.A."
0045;"CREDIT UNION ""PAYMENT CENTER"
0046;"BANCO GALLEGO"
0047;"PEOPLES TRUST COMPANY"
0048;"GUARDIANS CREDIT UNION"
0049;"BANCO SANTANDER"
0050;"TONGASS FEDERAL CREDIT UNION"
0051;"AIRWALLEX (SINGAPORE) PTE. LTD."
0052;"PROCESOS DE MEDIOS DE PAGO S.A."
0053;"CORNERSTONE CREDIT UNION"
0054;"JSC TBC BANK"
0055;"EASTERN BANK PLC."
0056;"SIA TRANSACT PRO"
0057;"SERVICES CREDIT UNION"
0058;"SCOTIABANK (PANAMA), S.A."
0059;"MUTUAL TRUST BANK"
0060;"PREPAY TECHNOLOGIES LTD"
0061;"BANCA MARCH, S.A."
0062;"BOKF, NATIONAL ASSOCIATION"
0118;"BANCO DE ASTURIAS"
0063;"FIRSTCARIBBEAN INTERNATIONAL BANK (BARBA"
0064;"COOPERATIVE CHOICE NETWORK CREDIT UNION"
0065;OPTIMUMBANK
0066;"VALLEY STRONG CREDIT UNION"
0067;"AXIS BANK LIMITED"
0068;"ECOBANK CONGO"
0069;"SUPER PAGAMENTOS E ADMINISTRAC"
0070;"RAIFFEISENBANK A.S."
0071;"TIB - THE INDEPENDENT BANKERSB"
0072;"BANCO PASTOR"
0073;"OPEN BANK"
0074;"NEDBANK PRIVATE WEALTH LIMITED"
0075;"BANCO POPULAR"
0076;"BANQUE INTERNATIONALE DE CAMEROUN POUR L"
0077;"BANQUE INTERNATIONALE DE CAMEROUN POUR L"
0078;"BANCA PUEYO"
0079;"XACBANK LLC"
0080;"PATHWARD, NATIONAL ASSOCIATION"
0081;BANCOSABADELL
0082;"TARJETAS BANAMEX, SA DE CV, SO"
0083;"RENTA 4"
0084;"MITSUBISHI UFJ NICOS CO., LTD."
0085;"OTP BANK ROMANIA S.A."
0086;"STRATEGIC FEDERAL CREDIT UNION"
0087;"NATIONAL DEVELOPMENT BANK PLC"
0088;"ARARATBANK OJSC"
0089;"MITSUBISHI UFJ NICOS CO., LTD."
0090;"HSBC BANK USA, NATIONAL ASSOCI"
0091;"FINANCIAL PLUS CREDIT UNION"
0092;"CITIZENS ALLIANCE BANK"
0093;"REVOLUT PAYMENTS AUSTRALIA PTY LTD"
0094;"SOCIETE GENERALE TCHADIENNE DE BANQUE (S"
0095;"BANCO AZTECA S.A. INSTITUCION"
0096;"PRISMA MEDIOS DE PAGO S.A.U."
0097;"GATHER FEDERAL CREDIT UNION"
