tag;texto
body_dcc_text_commission;"Service and exchange rate<BR>provided by <VAR0> on <VAR1><BR>COMMISSION=<VAR2>%"
body_dcc_visa_text_1;"I accept that I have been offered a choice of currencies for payment and that this choice is final."
body_dcc_visa_text_2;"I accept the conversion rate, the final amount and that the selected currency is <VAR0>"
body_sdmit_text;"AUTORIZO A MERCADONA PARA QUE CARGUE EN MI TARJETA<BR>LA COMPRA EFECTUADA PARA ENTREGAR EN MI DOMICILIO."
bottom_masked_pan;"TARJETA: <VAR0>"
bottom_authorization;"AUT: <VAR0>"
bottom_fuc;"NC: <VAR0>"
header_transaction_op;"OP: <VAR0>"
header_ticket_num;"N: <VAR0>"
header_pos;"CAJA: <VAR0>"
header_store;"SUP: <VAR0>"
header_total;"TOTAL...EUROS <VAR0>"
body_legal_1;"OPERACIÓN CON PIN.<BR>FIRMA NO REQUERIDA."
body_dcc_text;"TRANSACTION CURRENCY"
body_legal_5;"FIRMA CLIENTE"
body_legal_L;"VERIFICADO POR DISPOSITIVO"
header_payment_text;"* PAGO TARJETA BANCARIA *"
